title,publishedAt,sent_pos,sent_neg,sent_neutral
Bitcoin CDD Shows Uptick In Coin Movement — Early Signs of Profit-Taking?,2025-06-04 04:00:10,0.917580366134644,0.039123702794313,0.043295815587044
Bitcoin profit-taking underway as ‘big whales’ continue sell-off,2025-06-04 03:56:26,0.868116319179535,0.086130842566490,0.045752901583910
DMG Blockchain Solutions Announces Preliminary May Operational Results,2025-06-04 03:54:10,0.044501271098852,0.049753934144974,0.905744791030884
Trump's Truth Social Files For Bitcoin ETF As Family Goes 'Seriously Long' On Crypto,2025-06-04 03:50:04,0.036842655390501,0.096847079694271,0.866310298442841
DMG Blockchain Solutions Announces Preliminary May Operational Results,2025-06-04 03:50:00,0.044501271098852,0.049753934144974,0.905744791030884
Dogecoin (DOGE) Consolidates Losses — Can Meme Coin Mania Make a Comeback?,2025-06-04 03:48:57,0.166668087244034,0.040595255792141,0.792736709117889
Consensus 2025 – Top 10 Trends Defining Crypto’s Future,2025-06-04 03:40:22,0.116482265293598,0.013085600920022,0.870432138442993
Dogecoin Begins Rebound—But These Solana and Ethereum Meme Coins Are Up Even More,2025-06-04 03:28:18,0.919146776199341,0.034025937318802,0.046827241778374
"Bitcoin Profit Taking Speeds Up Post Golden Cross, Hourly BTC Cashouts Top $500M, Blockchain Data Show",2025-06-04 03:27:52,0.941214263439178,0.027737356722355,0.031048370525241
Trump memecoin wallet in ‘absolute chaos’ as family org unaware of launch,2025-06-04 03:27:33,0.077692918479443,0.352377235889435,0.569929897785187
"X’s New DM Feature XChat Will Have ‘Bitcoin-Style’ Encryption, Says Elon Musk",2025-06-04 03:23:58,0.140867412090302,0.007714168634266,0.851418435573578
"Bitcoin Profit Taking Speeds Up Post Golden Cross, Hourly BTC Cashouts Top $500M, Blockchain Data Show",2025-06-04 03:12:16,0.941214263439178,0.027737356722355,0.031048370525241
"Bitcoin, Ethereum, Dogecoin Slip As Investors Anticipate Trump-Jinping Call: Too Early For An ETH Top? This Analyst Says $3000 Is On Target",2025-06-04 03:05:39,0.100375719368458,0.557083010673523,0.342541337013245
$500M Bet On Solana: Education Platform Aims To Supercharge Its Treasury,2025-06-04 03:00:47,0.629096329212189,0.008002883754671,0.362900793552399
XRP Price Gains Pace — Bulls Eye Break Above Resistance,2025-06-04 02:48:30,0.906262457370758,0.034814108163118,0.058923430740833
Bitcoin,2025-06-04 02:45:49,0.019536944106221,0.045549366623163,0.934913635253906
Meta signs 20-year nuclear energy deal to power AI,2025-06-04 02:21:38,0.527274131774902,0.011301705613732,0.461424142122269
U.S. President Donald Trump’s Social Media Firm Truth Social To Launch Spot Bitcoin ETF,2025-06-04 02:21:35,0.093209639191628,0.010328695178032,0.896461665630341
